contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,underlyingPrice,expiry,ticker,date,expiry_date,dte,iv_rank
UNH251107C00395000,2025-11-04 20:17:39+00:00,395.0,0.04,0.01,0.1,0.01,33.333336,122.0,603,0.789064609375,False,REGULAR,USD,call,330.83,2025-11-07,UNH,20251104,2025-11-07,2,0.186
UNH251107C00400000,2025-11-04 20:37:15+00:00,400.0,0.02,0.01,0.03,-0.02,-50.0,622.0,3465,0.7500025,False,REGULAR,USD,call,330.83,2025-11-07,UNH,20251104,2025-11-07,2,0.186
UNH251107C00335000,2025-11-04 20:59:48+00:00,335.0,3.3,3.05,3.45,-2.0000002,-37.735855,5502.0,6406,0.4381159704589844,False,REGULAR,USD,call,330.83,2025-11-07,UNH,20251104,2025-11-07,2,0.186
UNH251107C00332500,2025-11-04 20:59:25+00:00,332.5,4.2,4.05,4.45,-2.65,-38.68613,1105.0,449,0.4370173486328125,False,REGULAR,USD,call,330.83,2025-11-07,UNH,20251104,2025-11-07,2,0.186
UNH251107C00342500,2025-11-04 20:59:25+00:00,342.5,1.29,1.25,1.41,-1.3700001,-51.503765,618.0,568,0.4379939013671875,False,REGULAR,USD,call,330.83,2025-11-07,UNH,20251104,2025-11-07,2,0.186
